id,latitude,longitude,count
0,9.8068333,-10.8632667,1
1,9.9127167,-10.7981333,1
2,10.0597667,-10.58615,1
3,10.2168333,-10.6887667,1
4,10.1431667,-10.60505,1
5,9.8408333,-11.04,1
6,9.9422667,-10.8930333,1
7,10.0578167,-10.7383667,1
8,9.9768167,-0.81955,1
9,10.0567833,-10.6658333,1
10,10.0004,-10.9727778,1
11,9.95445,-10.7318833,1
12,7.5438889,4.5131111,1
13,7.6906389,4.6193889,1
14,7.7013056,4.6553889,1
15,6.7729722,6.0923611,1
16,6.7414167,6.1048889,1
17,7.6409722,8.4065556,1
18,8.8242222,10.9208889,1
19,7.0918889,11.0910833,1
20,8.02,-11.58,1
21,8.05,-11.11,1
22,8.21,-11.09,1
23,8.18,-11.08,1
24,8.04,-11.06,1
25,7.82,-10.95,1
26,8.17,-11.23,1
27,8.28,-11.01,1
28,7.69,-5.62737,1
29,8,-10.95,1
30,8.025266,-11.757479,1
31,8.26,-11.02,1
33,9.45997,-5.62737,1
34,7.6792468,-5.0288473,1
35,5.8718574,-7.4563475,1
36,11.033333,-5.983333,1
37,10.583333,-7.15,1
38,12.8058333,-7.9833333,1
39,15.0236111,-2.8486111,1
41,14.3808333,-3.5683333,1
45,14.0155556,-4.2311111,1
46,14.3552778,-3.6572222,1
48,14.4002778,-3.6005556,1
49,10.8894444,-7.3877778,1
50,13.2008333,-9.4538889,1
51,13.3825,-4.9166667,1
53,12.805,-7.9802778,1
55,12.6980556,-8.6980556,1
56,12.1122222,-8.3322222,1
57,12.0913889,-8.335,1
58,11.0719444,-6.0269444,1
59,10.9936111,-7.4372222,1
60,10.9175,-7.4058333,1
61,10.8855556,-7.3822222,1
62,10.5891667,-7.1558333,1
65,10.6163889,-7.1583333,1
67,10.5238889,-7.2480556,1
69,10.3830556,-7.1516667,1
70,10.3972222,-7.2591667,1
71,10.6916667,-7.3647222,1
72,9.835733,8.918184,1
73,9.149141,9.798536,1
75,9.927603,8.901787,1
78,9.849674,8.683458,1
80,9.735649,8.805924,1
86,10.61285,12.19458,1
89,7.6833333,4.6166667,1
91,7.6333333,8.4,1
96,6.1283333,4.8925,1
98,6.7941667,7.2958333,1
99,5.8091667,5.4980556,1
100,7.0711111,3.1283333,1
102,6.1841667,6.07,1
103,8.1713889,2.6102778,1
104,6.7458333,3.3683333,1
105,6.78,-7.3,1
106,7.7144444,-9.2683333,1
107,8.0869444,-8.9138889,1
108,8.4936111,-10.4447222,1
110,10.0505024,-10.587824,1
114,10.0005556,-10.9727778,1
116,10.174464,-11.228871,1
117,11.414086,-12.314101,1
118,11.422052,-12.357379,1
119,11.932493,-12.08329,1
120,9.886289,-9.040097,1
121,9.313825,-13.006225,1
122,8.6136111,-9.4741667,1
123,9.419531,-10.504874,1
142,10.049722,-12.854167,1
147,9.8666667,-12.4333333,1
148,9.889773,-12.462182,1
151,9.716666,-10.883247,1
152,8.764354,10.107727,1
153,9,-9.95,1
154,8.554178,-10.143499,1
155,8.548081,-9.987993,1
156,8.543642,-9.954843,1
157,8.491514,-10.592433,1
158,8.482696,-10.40777,1
159,8.516618,-10.333321,1
160,7.7162461,-9.269558,1
161,7.667356,-9.293223,1
162,7.643482,-9.269884,1
163,7.648638,-8.506151,1
164,7.596216,-8.500757,1
166,9.895558,8.858098,1
167,8.663256,-11.059101,1
204,0.1443,34.3468,1
211,9.6452778,-8.9455556,1
212,11.0836111,-12.2975,1
217,10.4958333,-9.01777783,1
220,12.2994444,-8.7747222,1
222,11.5116667,-9.01,1
224,6.14163,6.74969,1
225,6.07736,6.73956,1
226,6.17366,6.59218,1
227,6.23966,6.64505,1
228,6.22307,6.4979,1
229,6.23039,6.60725,1
230,-6.848962784,37.64169836,1
231,-6.844144313,37.65331457,1
232,-6.174831826,37.13363199,1
233,-6.611110724,37.59784192,1
234,-6.449211583,37.53447237,1
235,-6.29191771,37.18823567,1
236,-6.384183923,37.35332313,1
237,-6.643709966,38.3313202,1
238,-6.667393612,38.37955415,1
239,-6.776719915,37.84445813,1
240,-6.631908473,38.17921414,1
241,-6.661429477,38.03418683,1
242,10.79747,35.16738,1
243,-5.74065,34.40967,1
244,-3.6375,33.41723,1
246,10.2581667,-2.626,1
247,9.547,-1.6325,1
248,10.395,-0.366,1
249,8.3471667,-0.3458333,1
250,7.1226667,-2.3276667,1
252,6.4495,-0.8518333,1
253,10.6193333,-1.4218333,1
254,7.9685,-1.6631667,1
255,7.6741667,-0.633,1
256,6.176,-1.792666,1
265,13.54401,2.1357,1
266,13.53742,2.11331,1
267,13.50222,2.11235,1
268,13.53571,2.07399,1
269,13.51204,2.09884,1
270,13.54624,2.09594,1
271,13.49392,2.12501,1
272,13.49792,2.12705,1
273,13.4897,2.10232,1
274,13.47908,2.11402,1
275,13.48473,2.12775,1
276,13.49397,2.1117,1
277,13.49366,2.0965,1
278,13.49143,2.08843,1
279,13.49316,2.09262,1
280,13.48022,2.09984,1
281,13.58922,2.10928,1
282,13.55207,2.05424,1
283,13.56106,2.04155,1
284,13.50696,2.07653,1
285,13.51396,2.10997,1
286,13.48536,2.10164,1
287,13.54157,2.0895,1
288,13.52893,2.17587,1
289,13.52081,2.15193,1
290,13.52358,2.14766,1
291,13.49539,2.07916,1
292,13.58936,2.10137,1
293,13.5182,2.14351,1
294,13.5274,2.08175,1
295,13.52891,2.08186,1
296,13.53435,2.08208,1
297,12.5386111,-12.3102778,1
298,12.7669444,-12.24,1
299,12.8238889,-11.8725,1
300,13.2627778,-12.1033333,1
301,12.7077778,-11.9677778,1
302,12.5530556,-12.2030556,1
303,12.5563889,-12.1713889,1
304,12.8566667,-12.3511111,1
305,12.5180556,-12.4336111,1
306,12.6336111,-12.2430556,1
307,12.9138889,-12.3425,1
308,13.165,-12.1144444,1
309,12.4102778,-12.2827778,1
310,10.05,-10.5666667,1
312,7.9969444,1.9833333,1
313,10.8705556,2.1525,1
314,12.3019444,-8.7736111,1
315,12.6083,-12.123,1
316,12.8,-12.3,1
2274899087,-30.100016,30.821263,1
2251246353,8.3,-9.233,1
2251246348,4.033,17.333,1
2251246342,8.35,-9.217,1
2251246335,3.75,17.517,1
2251246310,-2.9,15.65,1
2251246307,3.95,16.967,1
2243135430,-3.256,39.9745,1
2236094909,8.25,34.58,1
2235856267,9.03,36.15,1
2005257122,-29.664399,30.401316,1
2005257121,-29.666299,30.39965,1
1990801042,0.828117,31.704289,1
1990800770,-13.0667,33.9333,1
1990799011,0.862014,31.687078,1
1990798928,0.853919,31.676642,1
1990798879,-14.50872,35.23344,1
1990798463,0.802675,31.693797,1
1990798459,-12.8333,34.15,1
1987356697,-17.98333,30.7,1
1987354957,1.56667,30.25,1
1987341482,-17.81778,30.64741,1
1987328412,0.5,29.46667,1
1987290925,-17.81667,30.76667,1
1987261998,31.51306,-9.76972,1
1978557024,-27.96,29.93,1
1978557015,-29.47,30.4,1
1978557014,-25.63,28.17,1
1978557013,-30.27,30.59,1
1978556904,-28.56,31.24,1
1978556884,-27.75,30.8,1
1978556883,-25.47,27.33,1
1978556873,-26.09,25.35,1
1978556774,-32.79,26.85,1
1978556686,-33.01,27.7,1
1932240740,-9.933916,33.932147,1
1932240737,-9.705107,33.258153,1
1932240611,-15.05,35.25,1
1932240519,-15.901072,34.7348,1
1932240367,-15.792769,35.000093,1
1932240362,-15.799754,35.014792,1
1932240325,-9.667775,33.550067,1
1932240307,-15.340833,35.266667,1
1932240303,-10.08,33.27,1
1932240232,-15.888534,34.958181,1
1932240011,-15.842392,35.024297,1
1932240005,-15.971005,34.467104,1
1932239953,-13.230503,34.285626,1
1932239941,-16.016667,34.766667,1
1932239864,-15.816667,34.6,1
1932239861,-16.927072,35.235086,1
1932239812,-15.416655,35.466689,1
1932239786,-16.066667,35.05,1
1932239654,-16.219134,35.232345,1
1919853427,9.45,10.3,1
1919853407,7.26,3.32,1
1919853400,8,3.12,1
1919853396,9.15,3.5,1
1919853382,7.5,6.05,1
1919853374,11.51,13.09,1
1919853372,6.29,3.15,1
1919853370,9.54,4.25,1
1919853366,7.39,4.06,1
1919853363,7.33,3.58,1
1919853359,8.09,5.06,1
1919853332,7.41,3.07,1
1919853316,7.23,3.54,1
1919853310,7.26,3.17,1
1919853239,7.23,3.53,1
1919853215,8.14,5.31,1
1919853089,-13.066667,33.933333,1
1919853060,-16.08,35.07,1
1919853042,-13.05,33.15,1
1919853017,-16.216667,34.766667,1
1919853007,-15.033333,35.25,1
1919852983,-15.383333,35.316667,1
1919852962,-13.383333,34,1
1919852947,-12.116667,33.733333,1
1919782530,12.5833,23.6667,1
1919711388,-28.783333,29.633333,1
1919711238,-15.916667,25.95,1
1919711205,-15.883333,25.966667,1
1919711188,-12.766667,32.083333,1
1919711184,-13.35,31.683333,1
1919711156,-15,22.616667,1
1919711121,-13.166667,32.766667,1
1919710965,-2.3,34.833333,1
1919710934,-7.116667,31.133333,1
1919710930,-3.666667,36,1
1919710918,-2.516667,33,1
1919710913,-2.5,34.833333,1
1919710911,-3.976833,37.794167,1
1919710901,-3.333333,35.85,1
1919710890,-3.55,35.316667,1
1919710875,-3.216667,36.883333,1
1919710871,-3.894,37.777833,1
1919710866,-3.987167,37.811,1
1919710861,-4.006667,37.820167,1
1919710828,-2.116667,34.166667,1
1919710694,-4.083333,37.666667,1
1919710500,-4.2,30.45,1
1919710480,-3.33,40,1
1919710450,-3.333333,40,1
1919710421,1.966667,36.1,1
1919710387,-0.183333,29.9,1
1919710377,-0.116667,29.95,1
1919710308,-0.133333,29.9,1
1919710301,-28.8833,31.4667,1
1919710284,-0.1,29.933333,1
1919709903,3.716667,33.6,1
1919709886,3.8,33.666667,1
1919709850,2.783333,33.3,1
1919709847,2.933333,33.366667,1
1919709846,3.733333,33.716667,1
1919709843,2.833333,33.333333,1
1919709800,2.85,33.35,1
1919709791,-0.6,30.45,1
1919709760,-0.18,29.9,1
1919709741,3.966667,33.75,1
1919709633,8.15,20.333333,1
1919709626,1.75,34.516667,1
1919709599,2.62,34.73,1
1919709590,3,32.25,1
1919709588,8.116667,-12.083333,1
1919709585,-7.083333,31.05,1
1919709572,-6.65,31.066667,1
1919709544,-7.1,31.15,1
1919709519,-7.083333,31.066667,1
1919691658,-8.333333,38.916667,1
1836956386,0.802561,24.487503,1
1835721287,1.8137,31.4256,1
1835721259,1.8101,31.4256,1
1835721258,-0.3361,30.0848,1
1835721250,1.9838,31.7145,1
1835721237,1.8128,31.4238,1
1835721232,1.8128,31.4256,1
1835721231,-0.5755,29.8346,1
1835721227,1.811,31.4247,1
1835721207,1.8137,31.4265,1
1835721202,0.7753,29.9894,1
1835720878,1.9838,31.719,1
1835720864,1.9622,31.7046,1
1805744415,-7.89013,31.6786,1
1805744258,-10.97903,39.44958,1
1805744223,-10.83886,39.18086,1
1805744222,-11.00764,39.39836,1
1805744213,-10.61928,39.02078,1
1805743635,-1.569362,29.633897,1
1805737160,-5.2537,28.88626,1
1805736963,1.352533,30.837904,1
1805736962,1.472019,30.955416,1
1805736948,2.035338,31.515327,1
1805736944,1.886645,31.434562,1
1805736941,1.829568,31.412691,1
1805736940,1.970848,31.450224,1
1805736925,2.076738,31.435912,1
1805736918,1.414888,30.978636,1
1805736897,1.408671,30.89062,1
1805736893,1.880648,31.474871,1
1805736859,2.054804,31.598211,1
1805736528,1.832713,31.462023,1
1805736482,2.287563,31.578881,1
1805736478,2.448863,31.515701,1
1805736454,2.447273,31.867616,1
1805736453,2.371684,31.687985,1
1805736446,2.283448,31.957671,1
1805736400,2.094503,31.867891,1
1805736337,2.309213,32.050556,1
1805734392,-7.79972,35.765831,1
1805734225,-7.75111,34.55189,1
1805734151,-8.03658,34.50236,1
1805733930,-7.7978,35.7567,1
1805730206,-2.23903,28.81408,1
1805727126,3.81083,34.02931,1
1805726381,-18.4838,34.04318,1
1805726265,-18.478,34.076,1
1805726245,-18.48311,34.04464,1
1805726244,-18.46411,34.05308,1
1805724103,0.445128,32.888758,1
1805723713,0.4373,32.953975,1
1702679644,-15.55,28.266667,1
1702675319,-4.65,39.38333,1
1702675305,-1.23333,37.4,1
1702675292,-3.21667,40.11667,1
1702675263,0.46667,35.98333,1
1702675247,-4.53333,39.36667,1
1702674950,-3.483333,38.3,1
1702674928,-1.18333,36.91667,1
1700659125,-2.23954,28.81128,1
1502685683,0.6,25.217,1
1456403472,12.805,-7.98032,1
1456401906,15.0237,-2.84861,1
1456359815,11.072,-6.02704,1
1456249892,13.3824,-4.91672,1
1456153151,14.3552,-3.65728,1
1455548611,-13.38138,34.00298,1
1438012963,6.3561,2.089,1
1438012952,6.8192,1.6358,1
1438012938,6.631389,2.389722,1
1438012892,6.575,2.3918,1
1437080166,-0.625609,30.978695,1
1436990370,-21,25,1
1436990115,-1.1,29.5,1
1436990089,-26.2,28.083333,1
1436989765,7.583333,-8.533333,1
1436989399,-5.933333,25.533333,1
1436988722,8.3,-9.566667,1
1436988708,-4.3,15.3,1
1436988519,-8.65,26.516667,1
1436988243,-11.566667,27.416667,1
1436988089,0.5,25.2,1
1436987977,3.683333,29.133333,1
1436987162,-2.266667,34.85,1
1436986797,-20.15,22.45,1
1436985086,-2.6,29.733333,1
1436984144,-1.516667,30.433333,1
1436981975,-0.133333,29.6,1
1436981407,19.166667,30.483333,1
1436980660,-11.666667,27.466667,1
1436979673,6.316667,-10.8,1
1436978018,-8.933333,27.2,1
1436976671,-9.083333,27.2,1
1436976119,-18.616667,24.666667,1
1436975497,-21.333333,24.133333,1
1436974530,-1.933333,30.7,1
1436969541,7.483333,-8.616667,1
1436967446,-18.3,21.8,1
1436967024,-1.5,30.266667,1
1436966380,1.75,30.6,1
1436965505,-25.1,30.45,1
1436962247,4.166667,29.333333,1
1436960542,-2.466667,29.816667,1
1436957039,-21,24,1
1436956753,-2.483333,29.766667,1
1436956712,-0.166667,37.316667,1
1436952823,-32.566667,27.416667,1
1436951079,-29.85,31.016667,1
1436949504,2,30.583333,1
1436941129,-7.416667,31.983333,1
1436937172,2.666667,29.833333,1
1436936933,-1.916667,30.333333,1
1436936859,-1.55,30.25,1
1413786064,-19.3778,15.48001,1
1413786054,-17.59426,23.65211,1
1413786051,-17.62381,23.51137,1
1322971453,7.9,-10.87,1
1322969709,8.12,-11.02,1
1322959569,8.22,-11.05,1
1322959012,8.22,-11.03,1
1322955003,8.23,-11.05,1
1322944310,7.62,36.77,1
1322936543,8.02,-11.03,1
1322934870,7.6,36.77,1
1322921354,7.82,-10.93,1
1322914879,7.83,-10.93,1
1322905442,7.75,36.73,1
1322893815,-17.88,30.7,1
1322880523,3.03,19.35,1
1322855079,7.65,36.8,1
1322845598,7.92,-10.88,1
1322817910,7.58,34.4,1
1322808253,4.73,35.97,1
1322803211,9.12,-11.92,1
1322763726,9.4,-11.77,1
1322762105,8.45,39.1,1
1322750558,-19.08,22.95,1
1322727187,7.58,36.8,1
1322697798,2.58,21.85,1
1322686272,8.28,36.9,1
1322652269,7.72,34.1,1
1322651419,8.2,-11.05,1
1322631552,12.48,2.42,1
1322547328,7.73,37.07,1
1322518319,7.98,-10.95,1
1322478146,7.73,36.97,1
1322395423,-19.08,23.1,1
1322364114,9.12,-11.9,1
1322363611,7.83,-10.95,1
1322363460,9.5,-12.23,1
1322237741,7.67,36.87,1
1322172605,7.82,-10.92,1
1322078219,7.82,-12.02,1
1322004257,7.6,38.67,1
1321903998,8.52,34.7,1
1321855261,9.07,-12.42,1
1321852043,7.92,-10.87,1
1321813231,8.12,-11,1
1321778101,30.7,-8.3,1
1321737872,6.45,38.18,1
1321545696,6.7,38.25,1
1321542445,9.4,-11.73,1
1321236053,9.27,40.15,1
1320795925,8.38,33.78,1
1320538559,7.83,-12,1
1320534241,8.22,34.37,1
1319523973,7.78,-12,1
1319305233,9.13,37.07,1
1319148759,9.05,38.52,1
1318995441,9.18,-11.93,1
1318590558,7.52,36.67,1
1317938287,9.85,-11.32,1
1317725355,11.9,37.62,1
1300176346,-25.65,33.8167,1
1262414502,9.016667,38.083333,1
1262399479,-8.686987,29.503617,1
1212529363,4,17.083,1
1212529350,-2.408,10.5,1
1212529343,1,25,1
1212529332,3.967,16.75,1
1212529319,-0.136,11.7,1
1212529311,3.717,17.55,1
1212529285,0.4,14.733,1
1211830867,-25.75,28.2,1
1211829342,-20.35,31,1
1211829222,-20.166667,28.716667,1
1211824333,-17.716667,31.083333,1
1211819667,11.616667,-1.3,1
1211819427,11.016667,7.733333,1
1211817089,9.016667,40.166667,1
1211816742,8.5,-13.283333,1
1211816501,8.316667,-12.216667,1
1211815891,7.383333,3.933333,1
1211814049,6.283333,8.066667,1
1211809775,4.916667,-1.75,1
1211805299,-3.966667,39.6,1
1211799776,-2.9,37.65,1
1211794837,-2.666667,37.283333,1
1211791405,-1.816667,37.15,1
1211790768,-1.666667,37.283333,1
1211789830,1.466667,35.016667,1
1211789659,-1.466667,36.983333,1
1211789448,-1.283333,36.833333,1
1211789319,1.2,35.133333,1
1211786596,-0.716667,37.166667,1
1211784712,0.266667,36.533333,1
1211784585,-0.25,34.75,1
1211784332,0.216667,34.9,1
1211778042,-1.41667,36.88333,1
1211778039,-2.5,37,1
1145799951,-15.34216,35.27854,1
1145799931,-15.93748,35.50375,1
1145799914,-15.35912,35.30298,1
1145766660,0.400083,36.872336,1
1145761267,0.335689,36.898314,1
1145725766,13.51667,2.11667,1
1145725748,14.76667,5.76667,1
1145720530,-17.396,15.893,1
1145720514,-22.5067,17.3769,1
1145720443,12.466667,2.433333,1
1145720403,5.65,-0.183333,1
1145686090,-26.1,27.766667,1
1145686075,-23.983333,30.533333,1
1145686054,-29.033333,29.416667,1
1145685734,-13.13333,28.3253,1
1145685717,-30.783333,28.583333,1
1145685705,-13.13333,28.4,1
1145685667,-24.416667,25.533333,1
1145685656,-33.966667,25.583333,1
1145685015,-23.733333,31.066667,1
1145684995,-33.8,25.466667,1
1145684984,-33.816667,25.533333,1
1145391478,10.759761,-10.389608,1
1145391450,7.616683,-9.271383,1
1145391445,8.56,-9.982517,1
1145391429,8.482017,-10.408,1
1145391420,8.513233,-10.3267,1
1145391383,7.557529,-9.082623,1
1145391376,9.924667,-12.44715,1
1145391374,7.706267,-9.265833,1
1145391347,8.488183,-10.593433,1
1145391136,10.090133,-12.844267,1
1145391134,7.596483,-8.49885,1
1145391027,9.976883,-12.338717,1
1145391002,9.12077,-10.09453,1
1145391001,9.21095,-10.070017,1
1145390994,8.542033,-9.95485,1
1145390993,9.84047,-11.03857,1
1145390975,9.725367,-10.8778,1
1145390969,9.840767,-11.037667,1
1145390967,10.080083,-12.827967,1
1145390958,8.566667,-10.029517,1
1145390953,10.0985,-12.831917,1
1145390952,9.841133,-11.037717,1
1145390950,10.075283,-12.828617,1
1145390945,9.841333,-11.0381,1
1145390940,10.09905,-12.832817,1
1145390934,10.03347,-12.85393,1
1145390931,9.840867,-11.038317,1
1145390930,9.84045,-11.03817,1
1145390915,9.841317,-11.038017,1
1145390901,9.840917,-11.0384,1
1145390895,9.84195,-11.039483,1
1145390894,10.078667,-12.829783,1
1145390888,9.840917,-11.039233,1
1145390887,10.03373,-12.852883,1
1145390875,9.874617,-12.433333,1
1145390870,9.841117,-11.037467,1
1145390869,9.874617,-12.446717,1
1145390867,9.841317,-11.038717,1
1145390861,9.878167,-12.446333,1
1145390860,9.841317,-11.03875,1
1145390846,9.875017,-12.44755,1
1145390838,10.03705,-12.85493,1
1145390829,10.0493,-12.839283,1
1145390820,9.839769,-11.038866,1
1145390817,10.09,-12.84135,1
1145390815,10.0782,-12.829083,1
1145390812,8.567133,-10.030083,1
1145390788,9.84063,-11.03823,1
1145390787,9.875017,-12.447533,1
1145390742,9.84063,-11.03917,1
1145390737,9.84157,-11.038917,1
1145390703,9.8361,-11.039483,1
1145390695,9.725817,-10.876883,1
1145390682,9.8407,-11.038767,1
1145390661,10.089517,-12.83915,1
1145390634,9.87605,-12.4422,1
1145390626,9.876383,-12.4423,1
1145390619,9.725367,-10.8775,1
1145390612,9.877717,-12.44695,1
1145390602,9.725817,-10.8778,1
1145390596,10.032683,-12.85297,1
1145390592,9.877317,-12.4464,1
1145390578,9.83875,-11.037517,1
1145390576,9.725817,-10.8775,1
1145390575,10.037067,-12.8741,1
1145390572,9.8407,-11.039367,1
1145390566,10.03365,-12.8517,1
1145390537,9.841783,-11.037183,1
1145390527,10.078717,-12.816667,1
1145390518,9.87705,-12.442483,1
1145390516,10.074367,-12.8267,1
1145390501,10.0782,-12.828983,1
1145390463,9.841567,-11.038917,1
1145389896,9.876333,-12.441917,1
1145330264,-33.29761,24.36835,1
1145329777,-23.38333,29.33333,1
1145321559,-15.55,28.28333,1
1145303037,-5.189117,19.111517,1
1145303010,-5.1759,19.1,1
1145302964,-5.05785,18.9092,1
1145302953,-4.99385,18.7745,1
1145302943,-5.151933,18.780467,1
1145302939,-5.038611,18.818056,1
1143377775,-23.99484,30.52568,1
1098629056,3.721,31.2002,1
1098629052,3.658,31.7852,1
1098629044,3.604,31.3262,1
1098629034,2.2583,31.566,1
1098629032,3.5771,31.1012,1
1098629024,-0.5084,29.8099,1
1098629021,1.9303,31.7492,1
1098629019,1.9784,31.4679,1
1098629018,1.9856,31.4778,1
1098629017,1.9483,31.7222,1
1098629016,2.2452,31.6952,1
1098629008,1.8943,31.9291,1
1098629005,0.8103,30.0353,1
1098629003,0.6524,30.2913,1
1098628999,-0.0855,29.9719,1
1098628998,0.912,30.3404,1
1098628989,3.73,31.8571,1
1098628988,1.8763,31.7042,1
1098628986,3.613,31.8661,1
1098628962,0.8594,30.0754,1
1065428206,-22.2333,17.7833,1
1065427699,-21.44,15.61,1
1065427651,-12.75,32.0833,1
1065427250,-21.72,19.57,1
1065426862,-19.71667,17.28333,1
1065426285,-18.1167,21.6333,1
1065425883,-21.23,16.57,1
1065425806,-21.56,16.19,1
1065425688,-20.42,16.84,1
1065425676,-21.26,18.96,1
1065425400,-19.01,14.25,1
1065425384,-19.72,16.51,1
1065425351,-20.61,16.22,1
1065424791,-20.99,16.82,1
1065424672,-18.6,18.93,1
1065423623,-20.91,17.71,1
1065423543,-21.93,18.56,1
1065422268,-22.57,18.15319,1
1065422262,-20.27026,17.11041,1
1065420273,0.8,30.15,1
1065419087,-19.7167,18.4333,1
1065417711,-1,29.66667,1
1065417656,-18,21.5833,1
1065417088,1.75,31.58333,1
1065416687,-20.97,15.3,1
1065416178,-18.81667,18.05,1
1065415979,-1.4,37.68333,1
1065414390,-1.63333,37.33333,1
1065414266,-22.4167,17.7833,1
1065412256,-21.8667,18.1167,1
1065412042,-22.98,18.35,1
1065411635,-20.65,18.85,1
1065408254,-21.6833,13.8333,1
1065405977,-17.5833,18.5833,1
1065405716,-1.66667,37.28333,1
1065398263,-20.65,19.85,1
1065397205,2.13333,36.85,1
1065396276,-17.7,18.6667,1
1065395449,-3.48333,39.83333,1
1065389789,0.5,30.41667,1
1065387706,-19.19,17.69,1
1065384138,-22.67,14.61,1
1065373781,-23,17.68333,1
1065369346,-18.5333,20.8333,1
1065368806,-19.8,18.45,1
1065353240,-20.9167,18.9667,1
1065347490,-1.28333,36.81667,1
1064380882,11.36,-12.68,1
1064380878,11.43,-12.36,1
1064380860,11.42,-13.35,1
1064380820,8.49,-10.44,1
1064380811,10.06,-10.58,1
1064380787,10,-10.97,1
1064380723,11.51,-9.01,1
1064380698,9.63,-8.94,1
1064380661,8.08,-8.91,1
1064380067,9.84,-11.04,1
1064379921,6.961,2.099,1
1064379866,6.976,2.124,1
1064379829,8.8,2.25,1
1064379816,9.017,2.05,1
1064379626,9.083,2.083,1
1064379342,5.86,10.2,1
1064379116,8.983,1.964,1
1044050232,12.533,-12.233,1
1044050229,12.539,-12.506,1
1044050225,14.703,-14.006,1
1044050222,12.703,-12.183,1
1044050190,12.517,-12.383,1
1044050174,14.997,-12.5,1
1044050172,13.922,-12.217,1
1044050162,12.983,-13.717,1
1044050161,12.467,-12.65,1
1044050145,13.269,-12.286,1
1044050127,13.35,-12.417,1
1044050117,13.289,-12.656,1
1044044835,-6.281,37.183,1
1044044822,-6.742,37.181,1
1043986350,6.22,10.53,1
1043985813,7.944,-9.106,1
1043985811,7.944,-9.105,1
1043985806,7.807,-9.174,1
1043985804,7.786,-9.191,1
1043984601,7.934,-9.125,1
1043984600,8.996,-8.908,1
1043984599,7.64,-9.23,1
1043984053,10.52,-8.982,1
1043984049,8.61,-9.47,1
1043984025,11.08,-12.29,1
1043981735,-8.578,38.733,1
1043981124,-8.469,38.658,1
1043981123,-8.461,38.664,1
1043981118,-8.578,38.728,1
1043979987,12.45,-10.25,1
1043979985,12.55,-8.867,1
1043979984,15.017,-7.667,1
1043979982,12.483,-10.267,1
1043979981,12.967,-8.133,1
1043979980,12.65,-8,1
1043979979,13.075,-9.619,1
1043979978,15.106,-8.892,1
1043979976,12.3,-8.133,1
1043979975,15.05,-2.783,1
1043979973,12.317,-8.133,1
1043979961,12.925,-10.117,1
1043979953,12.95,-8.167,1
1043979950,15.139,-8.364,1
1043979944,12.55,-8.05,1
1043979095,12.833,14.75,1
1043979083,13.592,16.817,1
1042797655,6.55,2.6666,1
1042797629,6.5666,2.5833,1
1042797604,6.4833,2.5333,1
1042797580,6.7,2.4666,1
1042797566,6.5,2.4,1
1042797554,6.5333,2.6166,1
1042797541,6.3666,2.0833,1
1042797531,6.6333,1.7166,1
1042797516,6.4617,2.0208,1
1042797507,6.45,1.9333,1
1042797491,6.65,2.15,1
1042797481,6.2833,1.8333,1
1042797466,6.45,2.35,1
1042797454,6.8166,1.7833,1
1042797443,6.85,2.0833,1
1042797431,6.4,1.8833,1
1042797423,10.6166,1.2666,1
1042797407,6.5833,1.9833,1
1042797387,10.2333,1.9833,1
1042797381,6.5833,1.6666,1
